event_id,received_at,external_lead_id,request_id,http_status,response_time_ms,retry_number,crm_record_id,assigned_manager,expected_manager,result
E001,2026-06-01T09:00:00Z,LEAD-001,REQ-001-A,201,180,0,CRM-001,MGR-A,MGR-A,created
E002,2026-06-01T09:00:05Z,LEAD-001,REQ-001-A,200,75,1,CRM-001,MGR-A,MGR-A,safe_repeat
E003,2026-06-01T09:01:00Z,LEAD-002,REQ-002-A,504,5000,0,CRM-002,MGR-B,MGR-B,timeout_after_create
E004,2026-06-01T09:01:06Z,LEAD-002,REQ-002-A,200,90,1,CRM-002,MGR-B,MGR-B,safe_repeat
E005,2026-06-01T09:02:00Z,LEAD-003,REQ-003-A,504,5000,0,CRM-003-A,MGR-C,MGR-C,timeout_after_create
E006,2026-06-01T09:02:07Z,LEAD-003,REQ-003-B,201,210,1,CRM-003-B,MGR-C,MGR-C,duplicate_created
E007,2026-06-01T09:02:12Z,LEAD-003,REQ-003-B,200,70,2,CRM-003-B,MGR-C,MGR-C,safe_repeat
E008,2026-06-01T09:03:00Z,LEAD-004,REQ-004-A,500,320,0,NONE,NONE,MGR-A,server_error
E009,2026-06-01T09:03:08Z,LEAD-004,REQ-004-A,201,190,1,CRM-004,MGR-A,MGR-A,created_after_error
E010,2026-06-01T09:04:00Z,LEAD-005,REQ-005-A,201,170,0,CRM-005,MGR-B,MGR-C,wrong_assignment
E011,2026-06-01T09:05:00Z,LEAD-006,REQ-006-A,201,160,0,CRM-006,MGR-A,MGR-A,created
E012,2026-06-01T09:05:03Z,LEAD-006,REQ-006-A,200,68,1,CRM-006,MGR-A,MGR-A,safe_repeat
E013,2026-06-01T09:06:00Z,LEAD-007,REQ-007-A,504,5000,0,UNKNOWN,UNKNOWN,MGR-B,uncertain_outcome
E014,2026-06-01T09:06:07Z,LEAD-007,REQ-007-B,201,205,1,CRM-007,MGR-B,MGR-B,created_after_uncertain
E015,2026-06-01T09:06:30Z,LEAD-007,REQ-007-C,200,110,2,CRM-007,MGR-B,MGR-B,reconciled_existing
E016,2026-06-01T09:07:00Z,LEAD-008,REQ-008-A,201,185,0,CRM-008,MGR-C,MGR-A,wrong_assignment
E017,2026-06-01T09:07:20Z,LEAD-008,REQ-008-B,200,95,1,CRM-008,MGR-A,MGR-A,assignment_corrected
E018,2026-06-01T09:08:00Z,LEAD-009,REQ-009-A,201,175,0,CRM-009,MGR-C,MGR-C,created
E019,2026-06-01T09:08:04Z,LEAD-009,REQ-009-A,200,72,1,CRM-009,MGR-C,MGR-C,safe_repeat
E020,2026-06-01T09:09:00Z,LEAD-010,REQ-010-A,500,340,0,NONE,NONE,MGR-B,server_error
E021,2026-06-01T09:09:09Z,LEAD-010,REQ-010-B,201,215,1,CRM-010,MGR-B,MGR-B,created_after_error
E022,2026-06-01T09:09:14Z,LEAD-010,REQ-010-B,200,73,2,CRM-010,MGR-B,MGR-B,safe_repeat
E023,2026-06-01T09:10:00Z,LEAD-001,REQ-001-B,200,82,2,CRM-001,MGR-A,MGR-A,reconciled_existing
E024,2026-06-01T09:11:00Z,LEAD-005,REQ-005-A,200,78,1,CRM-005,MGR-B,MGR-C,wrong_assignment_persists
